date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:36:39	67/67	---M--	200	added ('OK')	text/plain	date:Mon,%2003%20Aug%202020%2005:06:38%20GMT	https://krakenbox.net/robots.txt		(from )
10:36:41	134697/134697	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Aug%202020%2005:06:38%20GMT	https://krakenbox.net/warzone/?storefront=envato-elements	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/index04b9.html	(from )
10:36:42	108733/108733	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2008:07:47%20GMT	https://krakenbox.net/warzone/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=2.9.13	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/plugins/elementor/assets/css/frontend.mincaa5.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:43	8426/8426	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2008:19:01%20GMT	https://krakenbox.net/warzone/wp-content/uploads/sites/3/elementor/css/post-125.css?ver=1594196341	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/uploads/sites/3/elementor/css/post-125d4b0.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:43	68368/68368	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2008:17:13%20GMT	https://krakenbox.net/warzone/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1.5.1	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontendcc1a.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:43	15288/15288	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2008:19:02%20GMT	https://krakenbox.net/warzone/wp-content/uploads/sites/3/elementor/css/post-152.css?ver=1594196342	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/uploads/sites/3/elementor/css/post-1523d18.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:44	53593/53593	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Apr%202020%2002:02:14%20GMT	https://krakenbox.net/warzone/wp-includes/css/dist/block-library/style.min.css?ver=5.4.2	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-includes/css/dist/block-library/style.min7661.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:44	1768/1768	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2003%20Jun%202020%2008:23:24%20GMT	https://krakenbox.net/warzone/feed/	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/feed/index.html	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:44	83/83	---M--	409	error ('Conflict')	text/html	date:Mon,%2003%20Aug%202020%2005:06:44%20GMT	https://krakenbox.net/warzone/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.2	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/plugins/contact-form-7/includes/css/styles5fba.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:44	1111/1111	---M--	200	added ('OK')	text/css	date:Sat,%2030%20May%202020%2001:46:17%20GMT	https://krakenbox.net/warzone/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min.css?ver=1.0.14	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min18c7.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:45	776/776	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2008:17:13%20GMT	https://krakenbox.net/warzone/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.5.1	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementorcc1a.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:45	16209/16209	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2008:07:47%20GMT	https://krakenbox.net/warzone/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.7.0	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min87e8.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:45	1691/1691	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2030%20May%202020%2001:37:53%20GMT	https://krakenbox.net/warzone/comments/feed/	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/comments/feed/index.html	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:45	18468/18468	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2008:07:47%20GMT	https://krakenbox.net/warzone/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=2.9.13	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/plugins/elementor/assets/lib/animations/animations.mincaa5.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:46	856/856	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2008:07:49%20GMT	https://krakenbox.net/warzone/wp-content/plugins/elementskit-lite/modules/controls/assets/css/widgetarea-editor.css?ver=1.0.0	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/plugins/elementskit-lite/modules/controls/assets/css/widgetarea-editor8a54.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:46	133872/133872	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2008:18:16%20GMT	https://krakenbox.net/warzone/wp-content/plugins/powerpack-lite-for-elementor/assets/css/frontend.css?ver=1.2.9.5	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/plugins/powerpack-lite-for-elementor/assets/css/frontend4826.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:46	52402/52402	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2008:28:34%20GMT	https://krakenbox.net/warzone/wp-content/uploads/sites/3/elementor/css/post-2.css?ver=1594196914	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/uploads/sites/3/elementor/css/post-2c532.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:46	6641/6641	---M--	200	added ('OK')	text/css	date:Sat,%2030%20May%202020%2001:45:16%20GMT	https://krakenbox.net/warzone/wp-content/themes/hello-elementor/style.min.css?ver=2.2.0	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/themes/hello-elementor/style.min3601.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:47	5231/5231	---M--	200	added ('OK')	text/css	date:Sat,%2030%20May%202020%2001:45:16%20GMT	https://krakenbox.net/warzone/wp-content/themes/hello-elementor/theme.min.css?ver=2.2.0	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/themes/hello-elementor/theme.min3601.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:47	8894/8894	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2008:07:49%20GMT	https://krakenbox.net/warzone/wp-content/plugins/elementskit-lite/libs/framework/assets/css/frontend-style.min.css?ver=1.5.7	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/plugins/elementskit-lite/libs/framework/assets/css/frontend-style.min00e2.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:47	185092/185092	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2008:07:49%20GMT	https://krakenbox.net/warzone/wp-content/plugins/elementskit-lite/widgets/init/assets/css/vendors.css?ver=1.5.7	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/plugins/elementskit-lite/widgets/init/assets/css/vendors00e2.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:48	23208/23208	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2008:07:49%20GMT	https://krakenbox.net/warzone/wp-content/plugins/elementskit-lite/widgets/init/assets/css/responsive.css?ver=1.5.7	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/plugins/elementskit-lite/widgets/init/assets/css/responsive00e2.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:49	55753/55753	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2008:07:47%20GMT	https://krakenbox.net/warzone/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.12.0	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minb683.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:49	759442/759442	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2008:07:49%20GMT	https://krakenbox.net/warzone/wp-content/plugins/elementskit-lite/widgets/init/assets/css/style.css?ver=1.5.7	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/plugins/elementskit-lite/widgets/init/assets/css/style00e2.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:49	668/668	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2008:07:47%20GMT	https://krakenbox.net/warzone/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.12.0	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.minb683.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:50	661/661	---M--	200	added ('OK')	text/css	date:Wed,%2008%20Jul%202020%2008:07:47%20GMT	https://krakenbox.net/warzone/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.12.0	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.minb683.css	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:50	96873/96873	---M--	200	added ('OK')	application/javascript	date:Fri,%2017%20May%202019%2014:55:54%20GMT	https://krakenbox.net/warzone/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-includes/js/jquery/jquery4a5f.js	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:50	10056/10056	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2016:41:28%20GMT	https://krakenbox.net/warzone/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:51	7/7	---M--	200	added ('OK')	application/javascript	date:Sat,%2030%20May%202020%2001:46:17%20GMT	https://krakenbox.net/warzone/wp-content/plugins/template-kit-export/public/assets/js/template-kit-export-public.min.js?ver=1.0.14	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/plugins/template-kit-export/public/assets/js/template-kit-export-public.min18c7.js	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:51	83/83	---M--	409	error ('Conflict')	text/html	date:Mon,%2003%20Aug%202020%2005:06:51%20GMT	https://krakenbox.net/warzone/xmlrpc.php?rsd	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/xmlrpc0db0.php	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:53	2278/2278	---MC-	200	added ('OK')	application/json	date:Mon,%2003%20Aug%202020%2005:06:51%20GMT	https://krakenbox.net/warzone/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkrakenbox.net%2Fwarzone%2F	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-json/oembed/1.0/embede0c7.json	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:53	92012/92012	---MC-	200	added ('OK')	application/json	date:Mon,%2003%20Aug%202020%2005:06:51%20GMT	https://krakenbox.net/warzone/wp-json/	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-json/index.html	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:55	2368/2368	---MC-	200	added ('OK')	text/xml	date:Mon,%2003%20Aug%202020%2005:06:54%20GMT	https://krakenbox.net/warzone/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fkrakenbox.net%2Fwarzone%2F&format=xml	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-json/oembed/1.0/embed23c7	(from https://krakenbox.net/warzone/?storefront=envato-elements)
10:36:55	7495/7495	---M--	200	added ('OK')	image/png	date:Sun,%2031%20May%202020%2013:30:39%20GMT	https://krakenbox.net/warzone/wp-content/uploads/sites/3/elementor/thumbs/team1-oqavpbjgtd8v83ph4vajgymvfbip3ankmes95aq7mo.png	D:/documentts/WEBPAGES/Website/https___krakenbox.net_warzone__storefront=envato-elements/krakenbox.net/warzone/wp-content/uploads/sites/3/elementor/thumbs/team1-oqavpbjgtd8v83ph4vajgymvfbip3ankmes95aq7mo.png	(from https://krakenbox.net/warzone/?storefront=envato-elements)
